Order,Lot Frontage,LotArea,LotShape,Utilities,Lot Config,Land Slope,Neighborhood,Bldg Type,House Style,Overall Qual,Overall Cond,YearBuilt,YearRemod/Add,Foundation,Bsmt Unf SF,Total Bsmt SF,BaseLivArea,Central Air,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Half Bath,Bathrooms,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Type,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Mo Sold,Yr Sold,Sale Condition,SalePrice
117,80,9600,Reg,AllPub,Inside,Gtl,NWAmes,1Fam,2Story,6,6,1971,1971,CBlock,386,715,329,Y,930,715,1645,1,2,2,4,1,TA,7,0,Attchd,441,0,78,0,0,0,6,2010,Normal,171000
325,94,9400,Reg,AllPub,Corner,Gtl,Mitchel,Duplex,2Story,6,5,1971,1971,CBlock,912,912,0,Y,912,912,1824,2,2,3,4,2,TA,8,0,NA,0,128,0,0,0,0,4,2010,Normal,139000
337,70,7700,Reg,AllPub,Inside,Gtl,Mitchel,Duplex,2Story,5,2,1985,1986,PConc,1216,1216,0,Y,1216,1216,2432,4,2,5,4,2,TA,10,0,Attchd,616,200,0,0,0,0,2,2010,Normal,159000
393,60,9000,Reg,AllPub,FR2,Gtl,NAmes,Duplex,2Story,5,5,1974,1974,CBlock,896,896,0,Y,896,896,1792,2,2,3,4,2,TA,8,0,NA,0,32,45,0,0,0,9,2009,Normal,136000
590,,13774,IR1,AllPub,Inside,Gtl,NWAmes,1Fam,2Story,7,7,1977,1992,PConc,476,908,432,Y,1316,972,2288,1,2,2,4,1,Gd,8,2,Attchd,520,321,72,0,0,156,11,2009,Normal,230000
667,81,9671,Reg,AllPub,Corner,Gtl,NAmes,Duplex,2Story,6,5,1969,1969,CBlock,1248,1248,0,Y,1248,1296,2544,2,2,3,6,2,TA,12,0,Attchd,907,0,0,0,0,0,8,2009,Normal,190000
670,91,11643,Reg,AllPub,Inside,Gtl,NAmes,Duplex,2Story,5,5,1969,1969,CBlock,748,1248,500,Y,1338,1296,2634,2,2,3,6,2,TA,12,0,Detchd,968,0,0,0,0,0,8,2009,Normal,200000
809,64,7018,Reg,AllPub,Inside,Gtl,SawyerW,Duplex,SFoyer,5,5,1979,1979,CBlock,0,1086,1086,Y,1224,0,1224,0,2,1,2,2,TA,6,2,Detchd,528,120,0,0,0,0,6,2009,Alloca,153337
814,64,7040,Reg,AllPub,Inside,Gtl,SawyerW,Duplex,SFoyer,5,5,1979,1979,CBlock,0,1094,1094,Y,1229,0,1229,0,2,1,2,2,Gd,6,2,Detchd,672,120,0,0,0,0,6,2009,Alloca,148325
816,,11855,Reg,AllPub,Inside,Gtl,SawyerW,Duplex,2Story,7,5,2000,2000,PConc,348,1168,820,Y,1168,1619,2787,4,2,5,6,2,TA,8,2,BuiltIn,820,312,0,0,0,0,10,2009,Normal,269500
817,,7939,Reg,AllPub,Inside,Gtl,SawyerW,Duplex,2Story,7,5,2000,2000,PConc,348,1168,820,Y,1168,1619,2787,4,2,5,6,2,TA,8,2,BuiltIn,820,312,0,0,0,0,10,2009,Normal,269500
818,,7976,Reg,AllPub,Inside,Gtl,SawyerW,Duplex,2Story,7,5,2000,2000,PConc,348,1168,820,Y,1168,1619,2787,4,2,5,6,2,TA,8,2,BuiltIn,820,312,0,0,0,0,10,2009,Normal,269500
1034,60,9000,Reg,AllPub,FR2,Gtl,NAmes,Duplex,2Story,5,5,1974,1974,CBlock,896,896,0,Y,896,896,1792,2,2,3,4,2,TA,8,0,Detchd,480,0,45,0,0,0,6,2008,Normal,133000
1183,,24572,IR1,AllPub,CulDSac,Gtl,Veenker,1Fam,2Story,9,3,1977,1977,CBlock,584,994,410,Y,1599,1345,2944,2,2,3,3,1,Gd,9,1,Attchd,864,140,70,16,0,0,6,2008,Family,150000
1229,,13700,IR1,AllPub,Inside,Gtl,NAmes,1Fam,2Story,7,6,1965,1988,CBlock,410,864,454,Y,902,918,1820,1,2,2,4,1,Gd,8,2,Attchd,492,60,84,0,0,273,5,2008,Normal,201800
1386,60,12900,Reg,AllPub,Inside,Gtl,Sawyer,Duplex,SFoyer,4,4,1969,1969,CBlock,0,1198,1198,Y,1258,0,1258,0,2,1,0,2,TA,6,0,CarPort,400,120,0,0,0,0,1,2008,Alloca,108959
1487,67,8777,Reg,AllPub,Inside,Gtl,Edwards,Duplex,1.5Fin,5,7,1900,2003,CBlock,188,1272,1084,Y,1272,928,2200,2,2,3,4,2,TA,9,0,NA,0,0,70,0,0,0,9,2008,Normal,145900
1523,64,7804,Reg,AllPub,Inside,Gtl,SWISU,Duplex,2.5Unf,6,7,1930,1950,BrkTil,0,960,960,Y,960,960,1920,2,2,3,4,2,TA,10,2,Detchd,480,248,0,121,0,0,7,2008,Abnorml,161900
1569,76,10260,Reg,AllPub,Inside,Gtl,Mitchel,Duplex,2Story,5,4,1976,1976,CBlock,0,0,0,Y,936,936,1872,2,2,3,4,2,TA,8,0,Attchd,484,0,0,0,0,0,11,2008,Abnorml,100000
1659,90,11700,Reg,AllPub,Inside,Gtl,NWAmes,1Fam,2Story,6,6,1968,1968,CBlock,143,702,559,Y,1041,702,1743,1,2,2,3,1,TA,7,1,Attchd,539,224,0,0,0,0,6,2007,Normal,175000
1743,53,3922,Reg,AllPub,Inside,Gtl,Blmngtn,TwnhsE,1Story,7,5,2006,2007,PConc,1258,1258,0,Y,1402,0,1402,0,2,1,2,1,Gd,7,1,Attchd,648,120,16,0,0,0,2,2007,Partial,194201
1784,85,9965,Reg,AllPub,FR2,Gtl,Somerst,1Fam,1Story,7,5,2007,2007,PConc,1528,1528,0,Y,1528,0,1528,3,2,4,3,1,Gd,6,1,Attchd,480,0,228,0,0,0,9,2007,Partial,235876
1862,,18890,IR1,AllPub,Inside,Gtl,Sawyer,Duplex,1.5Fin,5,5,1977,1977,CBlock,652,1361,709,Y,1361,1259,2620,2,2,3,4,2,TA,12,1,BuiltIn,600,155,24,145,0,0,8,2007,Normal,190000
1956,70,11606,IR1,AllPub,Inside,Sev,NAmes,1Fam,2Story,5,5,1969,1969,PConc,390,1040,650,Y,1040,1040,2080,1,2,2,5,1,Fa,9,2,Attchd,504,335,0,0,0,0,9,2007,Family,135000
2529,80,10400,Reg,AllPub,Inside,Gtl,NWAmes,1Fam,2Story,6,5,1972,1972,CBlock,485,732,247,Y,1012,778,1790,1,2,2,4,1,TA,8,1,Attchd,484,148,0,0,0,147,11,2006,Normal,165150
3,81,14267,IR1,AllPub,Corner,Gtl,NAmes,1Fam,1Story,6,6,1958,1958,CBlock,406,1329,923,Y,1329,0,1329,1,1,1.5,3,1,Gd,6,0,Attchd,312,393,36,0,0,0,6,2010,Normal,172000
