M,,D,Y,date,DJI,AAPL,NFLX,AMZN,K,TSLA,LMT,MCD,BAC,NYT,XOM,TWTR,FB,GOOGL,GEO,WMT,ARCH,RSX,MLM,CAT,BDX,BEP,NEE,AY,FSLR,CGC,WKHS,UNH,O,ET,EEM,GLDM
1,2,2,2020,20200102,0,75.087502,329.809998,1898.01001,67.639999,86.052002,399.369995,200.789993,35.639999,32.59,70.900002,32.299999,209.779999,1368.680054,16.58,118.940002,73.470001,25.620001,276.609985,150.529999,272.540009,24.353849,59.654999,26.290001,57.240002,20.129999,3.07,292.5,72.480003,13.34,45.779999,15.25
1,3,3,2020,20200103,28634.90039,74.357498,325.899994,1874.969971,68,88.601997,413.73999,200.080002,34.900002,32.77,70.330002,31.52,208.669998,1361.52002,16.02,117.889999,73.540001,25.1,275.790009,148.440002,269.589996,24.657608,60.080002,26.52,57.02,19.9,3.07,289.540009,73.790001,13.55,44.93,15.45
1,6,6,2020,20200106,28703.40039,74.949997,335.829987,1902.880005,67.940002,90.307999,413.109985,202.330002,34.849998,32.82,70.870003,31.639999,212.600006,1397.810059,15.82,117.650002,72.349998,25.4,276.640015,148.339996,273.380005,25.030642,60.380001,26.67,55.830002,20.08,3.21,291.549988,74.160004,13.68,44.82,15.62
1,7,7,2020,20200107,28583.69922,74.597504,330.75,1906.859985,68.809998,93.811996,414.5,202.630005,34.619999,32.459999,70.290001,32.540001,213.059998,1395.109985,15.69,116.559998,71.919998,25.290001,276.019989,146.380005,272.730011,25.105249,60.327499,26.469999,56.669998,19.799999,3.29,289.790009,74.18,13.63,44.790001,15.68
1,8,8,2020,20200108,28745.09961,75.797501,339.26001,1891.969971,68.889999,98.428001,411.029999,205.910004,34.970001,32.540001,69.230003,33.049999,215.220001,1405.040039,15.67,116.160004,70.699997,25.76,276.959991,147.679993,273.399994,25.281109,60.299999,26.700001,56.700001,20.129999,3.39,295.899994,74.519997,13.34,45.049999,15.56
1,9,9,2020,20200109,28956.90039,77.407501,335.660004,1901.050049,69.139999,96.267998,414.929993,208.350006,35.029999,31.52,69.760002,33.220001,218.300003,1419.790039,15.28,117.360001,71.040001,25.85,277.609985,147.309998,273.540009,25.771383,60.772499,26.799999,56.700001,20.799999,3.465,294.220001,73.25,13.43,45.349998,15.46
1,10,10,2020,20200110,28823.80078,77.582497,329.049988,1883.160034,69.269997,95.629997,413.829987,207.270004,34.740002,31.25,69.139999,32.779999,218.059998,1428.959961,15.32,116.379997,69.93,26.01,276.869995,146.130005,274.459991,25.61684,60.887501,26.83,56.5,20.540001,3.43,295.130005,73.739998,13.27,45.59,15.57
1,13,13,2020,20200113,28907.09961,79.239998,338.920013,1891.300049,69.709999,104.972,419.019989,206.509995,35.060001,31.5,69.800003,32.689999,221.910004,1440.030029,15.72,115.879997,71.769997,26.440001,272.149994,146.820007,276.200012,24.540367,61.599998,27,57.439999,23.110001,3.57,285.850006,74.959999,13.51,46.299999,15.45
1,14,14,2020,20200114,28939.69922,78.169998,338.690002,1869.439941,70,107.584,416.140015,207.320007,35.32,32.950001,69.199997,32.82,219.059998,1430.589966,15.78,116.18,69.599998,25.92,260.75,146.679993,275.959991,24.529709,61.932499,26.99,58.779999,23.85,3.66,288.23999,74.959999,13.56,46.040001,15.43
1,15,15,2020,20200115,29030.19922,77.834999,339.070007,1862.02002,70.269997,103.699997,420.950012,209.770004,34.669998,33.23,69.089996,33.23,221.149994,1439.199951,16.09,115.279999,66.650002,25.969999,262.190002,145.570007,277.299988,24.737543,62.895,27.35,54.75,24.9,3.61,296.410004,75.980003,13.5,45.68,15.52
